Year,Month,Product_ID,Country,counts,Expense_Price
2016,4,1,Argentina,4,8214.875
2016,5,1,Argentina,2,10777.878
2016,6,1,Argentina,2,10320.673
2016,7,1,Argentina,1,7377.587
2016,8,1,Argentina,1,9805.705
2016,9,1,Argentina,0,9375.481
2016,10,1,Argentina,1,7284.9
2016,11,1,Argentina,1,10381.438
2016,12,1,Argentina,2,6865.382
2017,1,1,Argentina,1,10704.394
2017,2,1,Argentina,0,7253.269
2017,3,1,Argentina,3,8427.013
2016,4,2,Argentina,4,3087.389
2016,5,2,Argentina,2,3424.024
2016,6,2,Argentina,2,3544.379
2016,7,2,Argentina,1,3303.667
2016,8,2,Argentina,1,3828.908
2016,9,2,Argentina,0,3415.876
2016,10,2,Argentina,1,3367.186
2016,11,2,Argentina,1,3567.157
2016,12,2,Argentina,2,3616.041
2017,1,2,Argentina,1,3652.529
2017,2,2,Argentina,0,3250.009
2017,3,2,Argentina,3,2951.466
2017,1,3,Argentina,1,6472.014
2017,2,3,Argentina,0,6472.014
2017,3,3,Argentina,3,6472.014
2016,4,2,Belgium,2,765.271
2016,5,2,Belgium,2,622.565
2016,6,2,Belgium,2,722.112
2016,7,2,Belgium,1,676.623
2016,8,2,Belgium,1,663.928
2016,9,2,Belgium,0,760.998
2016,10,2,Belgium,0,853.843
2016,11,2,Belgium,2,771.52
2016,12,2,Belgium,1,829.174
2017,1,2,Belgium,1,726.143
2017,2,2,Belgium,0,617.332
2017,3,2,Belgium,0,497.232
2016,4,1,Columbia,2,1723.635
2016,5,1,Columbia,1,1589.699
2016,6,1,Columbia,3,1792.339
2016,7,1,Columbia,0,1559.57
2016,8,1,Columbia,2,1360.078
2016,9,1,Columbia,0,1608.219
2016,10,1,Columbia,1,1525.554
2016,11,1,Columbia,2,1691.494
2016,12,1,Columbia,2,1660.75
2017,1,1,Columbia,2,1472.171
2017,2,1,Columbia,0,1544.051
2017,3,1,Columbia,1,1843.579
2016,4,2,Columbia,2,3262.763
2016,5,2,Columbia,1,3484.177
2016,6,2,Columbia,3,3525.917
2016,7,2,Columbia,0,3856.195
2016,8,2,Columbia,2,3170.702
2016,9,2,Columbia,0,3591.035
2016,10,2,Columbia,1,3526.675
2016,11,2,Columbia,2,3728.492
2016,12,2,Columbia,2,3454.903
2017,1,2,Columbia,2,3738
2017,2,2,Columbia,0,3303.168
2017,3,2,Columbia,1,3923.139
2017,1,3,Columbia,2,2414.13493
2017,2,3,Columbia,0,2414.13493
2017,3,3,Columbia,1,2414.13493
2016,4,2,Denmark,4,66175.264
2016,5,2,Denmark,2,84161.794
2016,6,2,Denmark,2,73109.054
2016,7,2,Denmark,0,65278.447
2016,8,2,Denmark,0,75939.881
2016,9,2,Denmark,0,73905.232
2016,10,2,Denmark,0,78101.986
2016,11,2,Denmark,0,71397.279
2016,12,2,Denmark,2,70794.598
2017,1,2,Denmark,1,61985.791
2017,2,2,Denmark,0,57087.558
2017,3,2,Denmark,0,67228.892
2015,11,5,England,0,416.969
2015,12,5,England,2,464.351
2016,1,5,England,1,349.703
2016,2,5,England,0,333.141
2016,3,5,England,0,427.817
2016,4,5,England,2,399.159
2016,5,5,England,2,400.744
2016,6,5,England,0,426.198
2016,7,5,England,0,378.903
2015,11,4,England,0,171.166
2015,12,4,England,2,194.468
2016,1,4,England,1,162.639
2016,2,4,England,0,163.553
2016,3,4,England,0,174.685
2016,4,4,England,2,172.181
2016,5,4,England,2,175.224
2016,6,4,England,0,181.402
2016,7,4,England,0,157.756
2015,11,4,Finland,1,1306.731
2015,12,4,Finland,3,1499.447
2016,1,4,Finland,2,1181.306
2016,2,4,Finland,0,940.191
2016,3,4,Finland,0,1439.734
2016,4,4,Finland,3,1378.859
2016,5,4,Finland,2,970.194
2016,6,4,Finland,3,1289.024
2016,7,4,Finland,0,900.083
