Year,Month,Product_ID,Country,counts,Expense_Price,Sales
2013,1,1,Argentina,1,14749.307,34346025
2013,1,2,Argentina,1,1329.374,2751851.48
2013,1,2,Belgium,1,249.59,314850.13
2013,1,1,Columbia,2,1893.122,3947356.30999999
2013,1,2,Columbia,2,1436.726,2885137.06
2013,1,2,Denmark,1,43843.906,101847627.11
2013,1,4,England,1,183.482,166907.57
2013,1,5,England,1,330.367,462370.62
2013,1,4,Finland,2,750.618,15153419.52
2013,2,1,Argentina,0,12187.566,32005575
2013,2,2,Argentina,0,1315.006,2804313.12
2013,2,2,Belgium,0,309.34,435185.52
2013,2,1,Columbia,0,1977.945,4074073.19999999
2013,2,2,Columbia,0,1250.836,2481817.06
2013,2,2,Denmark,0,37731.35,84457811.39
2013,2,4,England,0,170.041,140685.22
2013,2,5,England,0,307.268,414931.16
2013,2,4,Finland,0,809.129,16524812.16
2013,3,1,Argentina,3,13076.579,32530050
2013,3,2,Argentina,3,1192.655,2573004.98
2013,3,2,Belgium,0,226.664,268694.09
2013,3,1,Columbia,1,2033.22,4189422.97999999
2013,3,2,Columbia,1,1407.936,2821691.18
2013,3,2,Denmark,0,40274.631,89156080.5899999
2013,3,4,England,0,180.388,159316.9
2013,3,5,England,0,318.857,439883.54
2013,3,4,Finland,0,1310.457,28217082.24
2013,4,1,Argentina,4,14377.199,35588700
2013,4,2,Argentina,4,1658.633,3436237.42
2013,4,2,Belgium,2,317.763,461560.4
2013,4,1,Columbia,2,2022.229,4229307.07999999
2013,4,2,Columbia,2,1558.911,3149451.18
2013,4,2,Denmark,4,45275.841,99166393.8599999
2013,4,4,England,2,189.041,179295.95
2013,4,5,England,2,352.085,505948.04
2013,4,4,Finland,3,1065.617,22522665.6
2013,5,1,Argentina,2,15652.861,38789100
2013,5,2,Argentina,2,1838.573,3772468.84
2013,5,2,Belgium,2,316.502,464857.26
2013,5,1,Columbia,1,2114.103,4452229.11999999
2013,5,2,Columbia,1,1667.862,3389234.12
2013,5,2,Denmark,2,46157.179,106042169.94
2013,5,4,England,2,187.728,175741.65
2013,5,5,England,2,344.81,491075.38
2013,5,4,Finland,2,1513.342,32942280.96
2013,6,1,Argentina,2,11718.545,36196650
2013,6,2,Argentina,2,1569.111,3712853.34
2013,6,2,Belgium,2,289.633,403865.35
2013,6,1,Columbia,3,1876.265,3873948.15999999
2013,6,2,Columbia,3,1601.27,3242034.12
2013,6,2,Denmark,2,36095.113,87189457.29
2013,6,4,England,0,207.92,220876.69
2013,6,5,England,0,373.764,552209.82
2013,6,4,Finland,3,921.716,19155934.08
2013,7,1,Argentina,1,14144.888,37133775
2013,7,2,Argentina,1,1812.946,3791545.8
2013,7,2,Belgium,1,430.322,669262.58
2013,7,1,Columbia,0,1933.269,4214367.51999999
2013,7,2,Columbia,0,2003.423,4125885.3
2013,7,2,Denmark,0,46667.272,116561149.95
2013,7,4,England,0,170.853,141593.55
2013,7,5,England,0,334.845,470790.42
2013,7,4,Finland,0,1265.548,27180092.16
2013,8,1,Argentina,1,12839.791,35311500
2013,8,2,Argentina,1,1763.468,3698545.62
2013,8,2,Belgium,1,325.042,478044.7
2013,8,1,Columbia,2,1493.647,2928228.90999999
2013,8,2,Columbia,2,1599.478,3235200
2013,8,2,Denmark,0,40444.104,92379616.29
2013,8,4,England,1,170.292,140405.45
2013,8,5,England,1,306.223,413424.58
2013,8,4,Finland,0,1280.376,27492566.4
2013,9,1,Argentina,0,10788.309,38437875
2013,9,2,Argentina,0,1809.594,3979930.78
2013,9,2,Belgium,0,382.835,550575.62
2013,9,1,Columbia,0,1726.646,3488241.60999999
2013,9,2,Columbia,0,1791.906,3654834.12
2013,9,2,Denmark,0,50045.629,95225689.95
2013,9,4,England,0,177.31,154773.56
2013,9,5,England,0,337.577,476038.31
2013,9,4,Finland,0,1554.288,33901217.28
2013,10,1,Argentina,1,16108.134,44397675
2013,10,2,Argentina,1,2051.441,4514085.66
2013,10,2,Belgium,0,382.373,591786.37
2013,10,1,Columbia,1,2073.093,4262999.84999999
2013,10,2,Columbia,1,1865.91,3835446.27
2013,10,2,Denmark,0,46030.221,105367408.33
2013,10,4,England,0,189.856,179950.39
2013,10,5,England,0,354.384,509437.65
2013,10,4,Finland,0,1389.61,30052978.56
2013,11,1,Argentina,1,16242.067,45525375
2013,11,2,Argentina,1,2594.987,5258087.1
2013,11,2,Belgium,2,345.228,507716.44
2013,11,1,Columbia,2,1912.824,4043244.65999999
2013,11,2,Columbia,2,2030.454,4186034.12
2013,11,2,Denmark,0,42643.547,97483901.26
2013,11,4,England,0,196.943,194881.62
2013,11,5,England,0,386.902,578558.98
2013,11,4,Finland,1,1701.203,37328238.72
2013,12,1,Argentina,2,11144.301,33610500
2013,12,2,Argentina,2,1774.795,4010930.84
2013,12,2,Belgium,1,369.268,558817.77
2013,12,1,Columbia,2,1938.385,4002505.91
2013,12,2,Columbia,2,2010.004,4119051.18
2013,12,2,Denmark,2,37461.862,79520089.65
2013,12,4,England,2,200.066,200694.95
2013,12,5,England,2,392.918,587159.36
2013,12,4,Finland,3,1211.026,25899212.16
2014,1,1,Argentina,1,15316.88,44600850
2014,1,2,Argentina,1,2218.769,4821701.64
2014,1,2,Belgium,1,371.712,621458.11
2014,1,1,Columbia,2,1945.826,4066403.74999999
2014,1,2,Columbia,2,2367.68,4922331.18
2014,1,2,Denmark,1,53041.901,126116161.89
2014,1,4,England,1,170.244,139593.24
2014,1,5,England,1,327.667,459686.39
2014,1,4,Finland,2,1320.833,28468419.84
2014,2,1,Argentina,0,14746.595,41562675
2014,2,2,Argentina,0,1763.443,4044315.52
2014,2,2,Belgium,0,398.04,743441.93
2014,2,1,Columbia,0,2191.435,4513102.84999999
2014,2,2,Columbia,0,2247.186,4631622.36
2014,2,2,Denmark,0,33749.332,87533652.84
2014,2,4,England,0,172.619,144619.53
2014,2,5,England,0,333.778,469574.24
2014,2,4,Finland,0,881.556,18218511.36
2014,3,1,Argentina,3,12998.792,36957375
2014,3,2,Argentina,3,2222.233,4945701.88
2014,3,2,Belgium,0,342.252,565411.49
2014,3,1,Columbia,1,2191.868,4553499.01999998
2014,3,2,Columbia,1,2133.164,4397451.18
2014,3,2,Denmark,0,43291.54,100151949.33
2014,3,4,England,0,187.959,175208.44
2014,3,5,England,0,362.096,525422.52
2014,3,4,Finland,0,1583.462,39838901.76
2014,4,1,Argentina,4,15235.335,43447950
2014,4,2,Argentina,4,2179.377,5067317.5
2014,4,2,Belgium,2,536.635,914878.65
2014,4,1,Columbia,2,2109.519,4356245.42999998
2014,4,2,Columbia,2,2493.658,5183051.18
2014,4,2,Denmark,4,43210.845,102353411.01
2014,4,4,England,2,191.476,181910.4
2014,4,5,England,2,376.663,556099.15
2014,4,4,Finland,3,1522.261,33158501.77
2014,5,1,Argentina,2,14499.779,40863375
2014,5,2,Argentina,2,2625.722,5792241.98
2014,5,2,Belgium,2,471.089,778058.96
2014,5,1,Columbia,1,2346.607,4841843.12999999
2014,5,2,Columbia,1,2584.325,5381451.18
2014,5,2,Denmark,2,45318.135,103370491.37
2014,5,4,England,2,176.118,151092.4
2014,5,5,England,2,376.311,556564.83
2014,5,4,Finland,2,1121.18,23801300.73
2014,6,1,Argentina,2,13593.151,40376700
2014,6,2,Argentina,2,2746.535,5947242.28000001
2014,6,2,Belgium,2,387.975,555981.9
2014,6,1,Columbia,3,2205.613,4556475.90999999
2014,6,2,Columbia,3,2686.815,5588244.18
2014,6,2,Denmark,2,54103.301,122201643.59
2014,6,4,England,0,182.987,164419.59
2014,6,5,England,0,362.87,527586.13
2014,6,4,Finland,3,1348.254,27895262.62
2014,7,1,Argentina,1,15204.593,43458975
2014,7,2,Argentina,1,2563.729,5594318.52
2014,7,2,Belgium,1,645.618,1213244.48
2014,7,1,Columbia,0,2288.469,4807423.75999999
2014,7,2,Columbia,0,2850.069,5962468.24
2014,7,2,Denmark,0,56144.548,135022315.76
2014,7,4,England,0,190.956,181833.87
2014,7,5,England,0,417.095,634160.66
2014,7,4,Finland,0,1392.341,30143145.19
2014,8,1,Argentina,1,13292.384,41302800
2014,8,2,Argentina,1,2347.826,5367779.62
2014,8,2,Belgium,1,405.926,665965.72
2014,8,1,Columbia,2,1343.326,2945606.8
2014,8,2,Columbia,2,2632.626,5462834.12
2014,8,2,Denmark,0,48919.05,118334140.37
2014,8,4,England,1,170.629,139770.59
2014,8,5,England,1,334.189,469765.96
2014,8,4,Finland,0,1242.183,26633523.87
2014,9,1,Argentina,0,15306.694,43783425
